influence,beta,gamma,dt,avgI,cost(s),,,influence,beta,gamma,dt
0.05,0.005,0.05,0.001,0.783025,0.662878,,,,,,
0.3,0.005,0.001,0.001,0.783025,0.670171,,,,,,
0.1,0.005,0.05,0.001,0.783025,0.672414,,,,,,
0.3,0.001,0.005,0.005,0.783024,0.139607,,,,,,
0.3,0.001,0.001,0.005,0.783024,0.141329,,,,,,
0.3,0.005,0.01,0.001,0.783024,0.674364,,,,,,
0.01,0.005,0.1,0.001,0.783024,0.691556,,,,,,
0.3,0.005,0.005,0.001,0.783024,0.693325,,,,,,
0.05,0.005,0.1,0.001,0.783024,0.696862,,,,,,
0.5,0.001,0.001,0.005,0.783023,0.134995,,,,,,
0.3,0.001,0.01,0.005,0.783023,0.140509,,,,,,
0.3,0.005,0.05,0.001,0.783023,0.660483,,,,,,
0.5,0.005,0.01,0.001,0.783023,0.695014,,,,,,
0.1,0.005,0.1,0.001,0.783023,0.697306,,,,,,
0.5,0.005,0.005,0.001,0.783023,0.697458,,,,,,
0.5,0.005,0.001,0.001,0.783023,0.697574,,,,,,
0.5,0.001,0.005,0.005,0.783022,0.140484,,,,,,
0.5,0.001,0.01,0.005,0.783021,0.135657,,,,,,
0.5,0.005,0.05,0.001,0.783021,0.683986,,,,,,
0.1,0.001,0.4,0.001,0.783021,0.692856,,,,,,
0.01,0.001,0.4,0.001,0.783021,0.693742,,,,,,
0.01,0.005,0.2,0.001,0.783021,0.69695,,,,,,
0.05,0.001,0.4,0.001,0.783021,0.697549,,,,,,
0.3,0.005,0.1,0.001,0.783021,0.714593,,,,,,
0.1,0.005,0.2,0.001,0.78302,0.694297,,,,,,
0.5,0.001,0.4,0.001,0.78302,0.696314,,,,,,
0.3,0.001,0.4,0.001,0.78302,0.69657,,,,,,
0.5,0.005,0.1,0.001,0.78302,0.698991,,,,,,
0.05,0.005,0.2,0.001,0.78302,0.7006,,,,,,
0.05,0.001,0.05,0.005,0.783019,0.140158,,,,,,
0.01,0.001,0.05,0.005,0.783019,0.140235,,,,,,
0.01,0.01,0.001,0.001,0.783019,0.705255,,,,,,
0.05,0.001,0.001,0.01,0.783018,0.0656611,,,,,,
0.01,0.001,0.001,0.01,0.783018,0.07118,,,,,,
0.1,0.001,0.05,0.005,0.783018,0.140323,,,,,,
0.01,0.01,0.01,0.001,0.783018,0.668913,,,,,,
0.3,0.005,0.2,0.001,0.783018,0.693247,,,,,,
0.05,0.01,0.01,0.001,0.783018,0.694361,,,,,,
0.01,0.01,0.005,0.001,0.783018,0.694723,,,,,,
0.05,0.01,0.005,0.001,0.783018,0.696554,,,,,,
0.05,0.01,0.001,0.001,0.783018,0.708831,,,,,,
0.1,0.001,0.001,0.01,0.783017,0.0676471,,,,,,
0.01,0.001,0.005,0.01,0.783017,0.0719207,,,,,,
0.01,0.01,0.05,0.001,0.783017,0.673322,,,,,,
0.1,0.01,0.01,0.001,0.783017,0.685089,,,,,,
0.1,0.01,0.001,0.001,0.783017,0.698297,,,,,,
0.1,0.01,0.005,0.001,0.783017,0.702394,,,,,,
0.05,0.001,0.005,0.01,0.783016,0.0709318,,,,,,
0.3,0.001,0.05,0.005,0.783016,0.139022,,,,,,
0.5,0.005,0.2,0.001,0.783016,0.681373,,,,,,
0.05,0.01,0.05,0.001,0.783016,0.688396,,,,,,
0.1,0.001,0.005,0.01,0.783015,0.0671922,,,,,,
0.05,0.001,0.01,0.01,0.783015,0.0673857,,,,,,
0.01,0.001,0.01,0.01,0.783015,0.0676615,,,,,,
